Aderholt,Robert,1965-07-22,M,AL,4,Republican,https://aderholt.house.gov,Robert_Aderholt,RobertAderholt,UC71CAgpg1gbLTew_pfTneGA
Amash,Justin,1980-04-18,M,MI,3,Libertarian,https://amash.house.gov,,repjustinamash,UCeg6HhoCXrS8xpON9dxtZgA
Bass,Karen,1953-10-03,F,CA,37,Democrat,https://bass.house.gov,RepKarenBass,RepKarenBass,UCQZg7oxkV3Yag2emYPLhT2g
Bilirakis,Gus,1963-02-08,M,FL,12,Republican,https://bilirakis.house.gov,RepGusBilirakis,GusBilirakis,UC2z1uu1n4-60xXs5x1mvLJw
Bishop,Rob,1951-07-13,M,UT,1,Republican,https://robbishop.house.gov,RepRobBishop,RepRobBishop,UCJC2BXNGQEUom7Tp7FKfxlQ
Bishop,Sanford,1947-02-04,M,GA,2,Democrat,https://bishop.house.gov,SanfordBishop,sanfordbishop,UCxF9veLBrkr_CqVq5eFYVGg
Blumenauer,Earl,1948-08-16,M,OR,3,Democrat,https://blumenauer.house.gov,BlumenauerMedia,,UCuziVoKuGn7feNA5VrpxsBQ
Brady,Kevin,1955-04-11,M,TX,8,Republican,https://kevinbrady.house.gov,RepKevinBrady,kevinbrady,UC6Ng0uMQEBVgXO_HF0NbfXA
Brooks,Mo,1954-04-29,M,AL,5,Republican,https://brooks.house.gov,RepMoBrooks,RepMoBrooks,UCgsPSY0MpuQJq8vEqYUSt-g
Buchanan,Vern,1951-05-08,M,FL,16,Republican,https://buchanan.house.gov,VernBuchanan,CongressmanBuchanan,UCY4DEy41NxOTdcF8_XAVZvw
Bucshon,Larry,1962-05-31,M,IN,8,Republican,https://bucshon.house.gov,RepLarryBucshon,RepLarryBucshon,UC0bIliQs0LKZabNwvZ3gnhQ
Burgess,Michael,1950-12-23,M,TX,26,Republican,https://burgess.house.gov,MichaelCBurgess,michaelcburgess,UCvvO8lo-Nkc31cEEElqQvQw
Butterfield,George,1947-04-27,M,NC,1,Democrat,https://butterfield.house.gov,GKButterfield,congressmangkbutterfield,UCbodCVgLfcbaep49L1M-mqA
