Brown,Sherrod,1952-11-09,M,OH,Democrat,https://www.brown.senate.gov,SenSherrodBrown,SenatorSherrodBrown,UCgy8jfERh-t_ixkKKoCmglQ
Cantwell,Maria,1958-10-13,F,WA,Democrat,https://www.cantwell.senate.gov,SenatorCantwell,senatorcantwell,UCN52UDqKgvHRk39ncySrIMw
Cardin,Benjamin,1943-10-05,M,MD,Democrat,https://www.cardin.senate.gov,SenatorCardin,senatorbencardin,UCiQaJnMzlfzzG3VESgyZChA
Carper,Thomas,1947-01-23,M,DE,Democrat,https://www.carper.senate.gov/public,SenatorCarper,tomcarper,UCgLnvbKwu4B3navofj6Qvvw
Casey,Robert,1960-04-13,M,PA,Democrat,https://www.casey.senate.gov,SenBobCasey,SenatorBobCasey,UCtVssXhx-KuZa-hSvnsnJ0A
Feinstein,Dianne,1933-06-22,F,CA,Democrat,https://www.feinstein.senate.gov,SenFeinstein,senatorfeinstein,UCtVC--6LR0ff2aOP8THpuEw
Klobuchar,Amy,1960-05-25,F,MN,Democrat,https://www.klobuchar.senate.gov,SenAmyKlobuchar,,UCvdeJsDsV51tFb_hVqvtYGA
Menendez,Robert,1954-01-01,M,NJ,Democrat,https://www.menendez.senate.gov,SenatorMenendez,senatormenendez,UC0PV0K9Z5a9p3D5917KF5fw
Sanders,Bernard,1941-09-08,M,VT,Independent,https://www.sanders.senate.gov,SenSanders,senatorsanders,UCD_DaKNac0Ta-2PeHuoQ1uA
Stabenow,Debbie,1950-04-29,F,MI,Democrat,https://www.stabenow.senate.gov,SenStabenow,SenatorStabenow,UCFoDKCvxSwCUfDv-4Eg4K5A
Tester,Jon,1956-08-21,M,MT,Democrat,https://www.tester.senate.gov,SenatorTester,senatortester,UCgXAF-CON1coZFMxQkfj0fg
Whitehouse,Sheldon,1955-10-20,M,RI,Democrat,https://www.whitehouse.senate.gov,SenWhitehouse,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA
Barrasso,John,1952-07-21,M,WY,Republican,https://www.barrasso.senate.gov,SenJohnBarrasso,johnbarrasso,UC80PfiCAB2Fe1MFayWlR6GQ
Wicker,Roger,1951-07-05,M,MS,Republican,https://www.wicker.senate.gov,SenatorWicker,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg
Alexander,Lamar,1940-07-03,M,TN,Republican,https://www.alexander.senate.gov/public,SenAlexander,senatorlamaralexander,UChDLBjn5RWqgMmCSswT05IQ
Collins,Susan,1952-12-07,F,ME,Republican,https://www.collins.senate.gov,SenatorCollins,susancollins,UC6GYaBx5kT2r4PN8KENxC-w
Cornyn,John,1952-02-02,M,TX,Republican,https://www.cornyn.senate.gov,JohnCornyn,sen.johncornyn,UCyQwLQavlOaJ64YuY_VMtiQ
Durbin,Richard,1944-11-21,M,IL,Democrat,https://www.durbin.senate.gov,SenatorDurbin,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw
Enzi,Michael,1944-02-01,M,WY,Republican,https://www.enzi.senate.gov,SenatorEnzi,mikeenzi,UCipEXEDAKVPj_B0cQjaikEA
Graham,Lindsey,1955-07-09,M,SC,Republican,https://www.lgraham.senate.gov/public,GrahamBlog,USSenatorLindseyGraham,UClLGZMA5Ei2Z8fR1PLEx6yQ
Inhofe,James,1934-11-17,M,OK,Republican,https://www.inhofe.senate.gov,InhofePress,jiminhofe,UCk3W3ilX8vGG-300qzNpG7w
McConnell,Mitch,1942-02-20,M,KY,Republican,https://www.mcconnell.senate.gov,McConnellPress,mitchmcconnell,
Merkley,Jeff,1956-10-24,M,OR,Democrat,https://www.merkley.senate.gov,SenJeffMerkley,jeffmerkley,UCRoXttCJhMnLVCxCaa6VnNQ
Reed,John,1949-11-12,M,RI,Democrat,https://www.reed.senate.gov,SenJackReed,SenJackReed,UCT_aFVtsjxPwWKfO-PW_hPw
Risch,James,1943-05-03,M,ID,Republican,https://www.risch.senate.gov,SenatorRisch,senatorjimrisch,UCncKW8xyT5UbPNO27YuQnBA
Roberts,Pat,1936-04-20,M,KS,Republican,https://www.roberts.senate.gov,SenPatRoberts,SenPatRoberts,UCRpswvC8LgxzE9AYSFpqUgw
Shaheen,Jeanne,1947-01-28,F,NH,Democrat,https://www.shaheen.senate.gov,SenatorShaheen,SenatorShaheen,UCjLZAZMbDrybHyttdEC9LFA
Udall,Tom,1948-05-18,M,NM,Democrat,https://www.tomudall.senate.gov,SenatorTomUdall,senatortomudall,UCADpIVS6bxOcr-uWnJCC9pQ
Warner,Mark,1954-12-15,M,VA,Democrat,https://www.warner.senate.gov,MarkWarner,MarkRWarner,UCwyivNlEGf4sGd1oDLfY5jw
Gillibrand,Kirsten,1966-12-09,F,NY,Democrat,https://www.gillibrand.senate.gov,GillibrandNY,SenKirstenGillibrand,UCVEloQogVsmnkd5vxJInmYg
Coons,Chris,1963-09-09,M,DE,Democrat,https://www.coons.senate.gov,ChrisCoons,senatorchriscoons,UC2lOVbsddn1HIkcDnmCw6tA
Manchin,Joe,1947-08-24,M,WV,Democrat,https://www.manchin.senate.gov,Sen_JoeManchin,JoeManchinIII,UCGyPK_ye2ptpzQgOjKIn7ag
Baldwin,Tammy,1962-02-11,F,WI,Democrat,https://www.baldwin.senate.gov,SenatorBaldwin,senatortammybaldwin,UC_XjYCRbbI2_TDDjJidwk0Q
Bennet,Michael,1964-11-28,M,CO,Democrat,https://www.bennet.senate.gov/public,SenatorBennet,senbennetco,UCXB3cljpMwTyCUyLr2ZVLow
Blackburn,Marsha,1952-06-06,F,TN,Republican,https://www.blackburn.senate.gov,MarshaBlackburn,marshablackburn,UCvNnmu5mUm7xr8QXBlbtQ9w
Blumenthal,Richard,1946-02-13,M,CT,Democrat,https://www.blumenthal.senate.gov,SenBlumenthal,SenBlumenthal,UCHH-fn3_LVt0Q4od56rOi5g
Blunt,Roy,1950-01-10,M,MO,Republican,https://www.blunt.senate.gov,RoyBlunt,SenatorBlunt,UCFeLRzjhThTmaWzuh5qjpGA
Boozman,John,1950-12-10,M,AR,Republican,https://www.boozman.senate.gov/public,JohnBoozman,JohnBoozman,UC9vWHKL5OfIYh6kIV0rF2yw
Burr,Richard,1955-11-30,M,NC,Republican,https://www.burr.senate.gov,SenatorBurr,SenatorRichardBurr,UCOLLZpp-1womBSFDV2uLfag
Capito,Shelley,1953-11-26,F,WV,Republican,https://www.capito.senate.gov,SenCapito,senshelley,UCbiXdR4XQ3vD9Xp5lfR9QXw
Cassidy,Bill,1957-09-28,M,LA,Republican,https://www.cassidy.senate.gov,SenBillCassidy,,UCCEyGhUzxgkxFzWCY-rxz8g
Crapo,Michael,1951-05-20,M,ID,Republican,https://www.crapo.senate.gov,MikeCrapo,mikecrapo,UCMHzKHg1BE7dEcFjnayw1lA
Gardner,Cory,1974-08-22,M,CO,Republican,https://www.gardner.senate.gov,SenCoryGardner,SenCoryGardner,UC7Vi5vAFb7piu_BNwrYDBxQ
Grassley,Charles,1933-09-17,M,IA,Republican,https://www.grassley.senate.gov,ChuckGrassley,grassley,UCiCPRkcLMInpDeOqGkMTt4w
Heinrich,Martin,1971-10-17,M,NM,Democrat,https://www.heinrich.senate.gov,MartinHeinrich,MartinHeinrich,UCBxh8IK5sMxY0Ln_0G2NYcg
Hirono,Mazie,1947-11-03,F,HI,Democrat,https://www.hirono.senate.gov,MazieHirono,senatorhirono,UCcoKhxad156flzPYJ8JMFOA
Hoeven,John,1957-03-13,M,ND,Republican,https://www.hoeven.senate.gov,SenJohnHoeven,SenatorJohnHoeven,UC1kQIC2Q_Fq9_NRqdb6eHiw
Johnson,Ron,1955-04-08,M,WI,Republican,https://www.ronjohnson.senate.gov,SenRonJohnson,senronjohnson,UCG9XyTVtOAs7VX_q_QVHoaw
Lankford,James,1968-03-04,M,OK,Republican,https://www.lankford.senate.gov,SenatorLankford,SenatorLankford,UCz8T6sK5fEycyWmVz6Vpe5Q
